,Sentence,Tokenized,Class,Label
0," všeobecné ustanovenia pvs: ičo: dič: sídlo: zapísaný: v mene ktorého koná: pvs 47 958 383 2024157663 odborárov 34a, komárno 945 01 obchodný register okresného súdu nitra, oddiel: sro, vložka číslo: 38032/n kuv, konateľ kuv, konateľ (ďalej len „pvs“) os ico: dič: ič dph: sídlo: zapísaný: v mene ktorého koná: (ďalej len „os os 36 663 051 2022237217 sk2022237217 gogoľova 18, 852 02 bratislava obchodný register okresného súdu bratislava i, oddiel: sro, vložka č"," všeobecný ustanovenie pvs : ičo : dič : sídlo : zapísaný : mene koná : pvs 47 958 383 2024157663 odborárov 34a , komárno 945 01 obchodný register okresného súd nitra , oddiel : sro , vložka číslo : 38032/n kuv , konateľ kuv , konateľ ( ďalej „ pvs “ ) os ico : dič : ič dph : sídlo : zapísaný : mene koná : ( ďalej „ os os 36 663 051 2022237217 sk2022237217 gogoľova 18 , 852 02 bratislava obchodný register okresného súd bratislava , oddiel : sro , vložka č ",majitel,0
1,1 predmetom tohto verifikačného dokumentu je overenie identifikácia kuv pvs (ďalej len „kuv podľa ust,1 predmet verifikačného dokument byť overenie identifikácia kuv pvs ( ďalej „ kuv ust ,majitel,0
2,"3 os sa tiež oboznámila s údajmi týkajúcimi sa pvs, ktoré boli včase identifikácie kuv dostupné vo verejne prístupných registroch a databázach"," 2 . 3 os oboznámila údajmi týkajúcimi pvs , byť včase identifikácie kuv dostupné verejne prístupný registroch databázach ",majitel,0
3,"3 spoločníci pvs: kuv, ktorý sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300 eur, splateným v rozsahu 100 %, má 50% podiel na základnom imaní pvs"," 3 . 2 základný imanie pvs : 6 600 , eur ( slovo : šesťtisícšesťsto eur ) rozsah splatenie základný imania : 6 600 , eur ( slovo : šesťtisícšesťsto eur ) 3 . 3 spoločníci pvs : kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 eur , splateným rozsahu 100 % , mať 50 % podiel základnom imaní pvs ",majitel,0
4," 3 spoločenskej zmluvy pvs, sa počet hlasov spoločníkov u pvs určuje nasledovne: kuv, ktorý sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300 eur má 50% podiel na hlasovacích právach v pvs"," “ ohľadom článok 9 ods . 3 spoločenskej zmluva pvs , počet hlas spoločníkov u pvs určovať nasledovne : kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 eur mať 50 % podiel hlasovacích právo pvs ",majitel,0
5,"“ nakoľko spoločenská zmluva pvs neurčuje inak, sa podiel hospodárskom prospechu z podnikania pvs určuje nasledovne: kuv, ktorý sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300,- eur má 50% podiel na hospodárskom prospechu z podnikania pvs"," “ nakoľko spoločenská zmluva pvs neurčuje inak , podiel hospodárskom prospechu podnikanie pvs určovať nasledovne : kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 , - eur mať 50 % podiel hospodárskom prospechu podnikanie pvs ",majitel,0
6," vmkuv pvs, vmkuv pvs a spôsob konania vmkuv v mene pvs: vmkuv pvs sú konatelia kuv a szilvia kubovics"," vmkuv pvs , vmkuv pvs spôsob konania vmkuv mene pvs : vmkuv pvs byť konatelia kuv szilvia kubovics ",majitel,0
7,1 tento verifikačný dokument bol vypracovaný os v súlade so zákonom o registri pvs za účelom overenia identifikácie kuv a tvorí prílohu k návrhu na zápis zmeny údajov pvs ná sektora do registra pvs,1 verifikačný dokument byť vypracovaný os súlad zákon registri pvs účelom overenia identifikácie kuv tvoriť prílohu návrh zápis zmena údajov pvs ná sektor register pvs ,majitel,0
8," všeobecné ustanovenia pvs: ičo: dič: sídlo: zapísaný: v mene ktorého koná: pvs 47 958 383 2024157663 odborárov 34a, komárno 945 01 obchodný register okresného súdu nitra, oddiel: sro, vložka číslo: 38032/n kuv, konateľ kuv, konateľ (ďalej len „pvs“) os ico: dič: ič dph: sídlo: zapísaný: v mene ktorého koná: (ďalej len „os os 36 663 051 2022237217 sk2022237217 gogoľova 18, 852 02 bratislava obchodný register okresného súdu bratislava i, oddiel: sro, vložka č"," všeobecný ustanovenie pvs : ičo : dič : sídlo : zapísaný : mene koná : pvs 47 958 383 2024157663 odborárov 34a , komárno 945 01 obchodný register okresného súd nitra , oddiel : sro , vložka číslo : 38032/n kuv , konateľ kuv , konateľ ( ďalej „ pvs “ ) os ico : dič : ič dph : sídlo : zapísaný : mene koná : ( ďalej „ os os 36 663 051 2022237217 sk2022237217 gogoľova 18 , 852 02 bratislava obchodný register okresného súd bratislava , oddiel : sro , vložka č ",majitel,0
9,1 predmetom tohto verifikačného dokumentu je overenie identifikácia kuv pvs (ďalej len „kuv podľa ust,1 predmet verifikačného dokument byť overenie identifikácia kuv pvs ( ďalej „ kuv ust ,majitel,0
