,Sentence,Tokenized,Class,Label,Label tokenized,,
0," všeobecné ustanovenia pvs: i?o: di?: sídlo: zapísaný: v mene ktorého koná: pvs 47 958 383 2024157663 odborárov 34a, komárno 945 01 obchodný register okresného súdu nitra, oddiel: sro, vložka ?íslo: 38032/n kuv, konate? kuv, konate? (?alej len „pvs“) os ico: di?: i? dph: sídlo: zapísaný: v mene ktorého koná: (?alej len „os os 36 663 051 2022237217 sk2022237217 gogo?ova 18, 852 02 bratislava obchodný register okresného súdu bratislava i, oddiel: sro, vložka ?"," všeobecný ustanovenie pvs : i?o : di? : sídlo : zapísaný : mene koná : pvs 47 958 383 2024157663 odborárov 34a , komárno 945 01 obchodný register okresného súd nitra , oddiel : sro , vložka ?íslo : 38032/n kuv , konate? kuv , konate? ( ?alej „ pvs “ ) os ico : di? : i? dph : sídlo : zapísaný : mene koná : ( ?alej „ os os 36 663 051 2022237217 sk2022237217 gogo?ova 18 , 852 02 bratislava obchodný register okresného súd bratislava , oddiel : sro , vložka ? ",majitel,0,0,,
1,1 predmetom tohto verifika?ného dokumentu je overenie identifikácia kuv pvs (?alej len „kuv pod?a ust,1 predmet verifika?ného dokument by? overenie identifikácia kuv pvs ( ?alej „ kuv ust ,majitel,0,0,,
2,"3 os sa tiež oboznámila s údajmi týkajúcimi sa pvs, ktoré boli v?ase identifikácie kuv dostupné vo verejne prístupných registroch a databázach"," 2 . 3 os oboznámila údajmi týkajúcimi pvs , by? v?ase identifikácie kuv dostupné verejne prístupný registroch databázach ",majitel,0,0,,
3,"3 spolo?níci pvs: kuv, ktorý sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300 eur, splateným v rozsahu 100 %, má 50% podiel na základnom imaní pvs"," 3 . 2 základný imanie pvs : 6 600 , eur ( slovo : šes?tisícšes?sto eur ) rozsah splatenie základný imania : 6 600 , eur ( slovo : šes?tisícšes?sto eur ) 3 . 3 spolo?níci pvs : kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 eur , splateným rozsahu 100 % , ma? 50 % podiel základnom imaní pvs ",majitel,1,1,,
4," 3 spolo?enskej zmluvy pvs, sa po?et hlasov spolo?níkov u pvs ur?uje nasledovne: kuv, ktorý sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300 eur má 50% podiel na hlasovacích právach v pvs"," “ oh?adom ?lánok 9 ods . 3 spolo?enskej zmluva pvs , po?et hlas spolo?níkov u pvs ur?ova? nasledovne : kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 eur ma? 50 % podiel hlasovacích právo pvs ",majitel,0,0,,
5,"“ nako?ko spolo?enská zmluva pvs neur?uje inak, sa podiel hospodárskom prospechu z podnikania pvs ur?uje nasledovne: kuv, ktorý sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300,- eur má 50% podiel na hospodárskom prospechu z podnikania pvs"," “ nako?ko spolo?enská zmluva pvs neur?uje inak , podiel hospodárskom prospechu podnikanie pvs ur?ova? nasledovne : kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 , - eur ma? 50 % podiel hospodárskom prospechu podnikanie pvs ",majitel,0,0,,
6," vmkuv pvs, vmkuv pvs a spôsob konania vmkuv v mene pvs: vmkuv pvs sú konatelia kuv a szilvia kubovics"," vmkuv pvs , vmkuv pvs spôsob konania vmkuv mene pvs : vmkuv pvs by? konatelia kuv szilvia kubovics ",majitel,0,0,,
7,1 tento verifika?ný dokument bol vypracovaný os v súlade so zákonom o registri pvs za ú?elom overenia identifikácie kuv a tvorí prílohu k návrhu na zápis zmeny údajov pvs ná sektora do registra pvs,1 verifika?ný dokument by? vypracovaný os súlad zákon registri pvs ú?elom overenia identifikácie kuv tvori? prílohu návrh zápis zmena údajov pvs ná sektor register pvs ,majitel,0,0,,
8," všeobecné ustanovenia pvs: i?o: di?: sídlo: zapísaný: v mene ktorého koná: pvs 47 958 383 2024157663 odborárov 34a, komárno 945 01 obchodný register okresného súdu nitra, oddiel: sro, vložka ?íslo: 38032/n kuv, konate? kuv, konate? (?alej len „pvs“) os ico: di?: i? dph: sídlo: zapísaný: v mene ktorého koná: (?alej len „os os 36 663 051 2022237217 sk2022237217 gogo?ova 18, 852 02 bratislava obchodný register okresného súdu bratislava i, oddiel: sro, vložka ?"," všeobecný ustanovenie pvs : i?o : di? : sídlo : zapísaný : mene koná : pvs 47 958 383 2024157663 odborárov 34a , komárno 945 01 obchodný register okresného súd nitra , oddiel : sro , vložka ?íslo : 38032/n kuv , konate? kuv , konate? ( ?alej „ pvs “ ) os ico : di? : i? dph : sídlo : zapísaný : mene koná : ( ?alej „ os os 36 663 051 2022237217 sk2022237217 gogo?ova 18 , 852 02 bratislava obchodný register okresného súd bratislava , oddiel : sro , vložka ? ",majitel,0,0,,
9,1 predmetom tohto verifika?ného dokumentu je overenie identifikácia kuv pvs (?alej len „kuv pod?a ust,1 predmet verifika?ného dokument by? overenie identifikácia kuv pvs ( ?alej „ kuv ust ,majitel,0,0,,
